"%s x %s","%s x %s"
"Additional Information","Additional Information"
"Availability","Availability"
"Customize %s","Customize %s"
"Customize and Add to Cart","Customize and Add to Cart"
"Details","Details"
"Email to a Friend","Email to a Friend"
"Go back to product detail","Go back to product detail"
"In stock","In stock"
"Out of stock","Out of stock"
"Quick Overview","Quick Overview"
"SKU#%s","SKU#%s"
"Summary","Summary"
"This product is also part of bundle(s)","This product is also part of bundle(s)"
"Your Customization","Your Customization"
