"%1$d of %2$d invitations were discarded.","%1$d of %2$d invitations were discarded."
"%1$d of %2$d invitations were sent.","%1$d of %2$d invitations were sent."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%d invitation(s) were not sent, because customer accounts already exist for specified email addresses."
"%d invitation(s) were sent.","%d invitation(s) were sent."
"%d of selected invitation(s) were skipped.","%d of selected invitation(s) were skipped."
"* Required Fields","* Required Fields"
"Acceptance Rate","Acceptance Rate"
"Accepted","Accepted"
"Accepted and Purchased","Accepted and Purchased"
"Add Invitations","Add Invitations"
"Admin","Admin"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Are you sure you want to discard this invitation?","Are you sure you want to discard this invitation?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Available to All","Available to All"
"Back","Back"
"Back to Invitations","Back to Invitations"
"By Invitation Only","By Invitation Only"
"CSV","CSV"
"Conversion Rate","Conversion Rate"
"Customer Account Registration by Invitation Form","Customer Account Registration by Invitation Form"
"Customer Group","Customer Group"
"Customer ID","Customer ID"
"Customer Invitation","Customer Invitation"
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Customer Invitations","Customer Invitations"
"Customer My Account Invitations Form","Customer My Account Invitations Form"
"Customer My Account Invitations List","Customer My Account Invitations List"
"Customer with email ""%s"" already exists.","Customer with email ""%s"" already exists."
"Customers","Customers"
"Default Customer Group from System Configuration","Default Customer Group from System Configuration"
"Default from System Configuration","Default from System Configuration"
"Discard Invitation","Discard Invitation"
"Discard Rate","Discard Rate"
"Discard Selected","Discard Selected"
"Discarded","Discarded"
"Email","Email"
"Email is not specified.","Email is not specified."
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Frontend","Enable Invitations on Frontend"
"Enter Each Email on New Line","Enter Each Email on New Line"
"Excel XML","Excel XML"
"Failed to send %1$d of %2$d invitation(s).","Failed to send %1$d of %2$d invitation(s)."
"Failed to send %d invitation(s).","Failed to send %d invitation(s)."
"Failed to send email to %s.","Failed to send email to %s."
"First Name","First Name"
"General","General"
"General Report","General Report"
"Group","Group"
"ID","ID"
"Invalid invitation code.","Invalid invitation code."
"Invalid invitation email.","Invalid invitation email."
"Invalid or empty invitation email.","Invalid or empty invitation email."
"Invalid value used for ""%s"" parameter. Previous value saved.","Invalid value used for ""%s"" parameter. Previous value saved."
"Invitation Form Before","Invitation Form Before"
"Invitation Information","Invitation Information"
"Invitation List Before","Invitation List Before"
"Invitation Message","Invitation Message"
"Invitation Report by Customers","Invitation Report by Customers"
"Invitation Report by Order Conversion Rate","Invitation Report by Order Conversion Rate"
"Invitation Section","Invitation Section"
"Invitation URL","Invitation URL"
"Invitation for %s has been sent.","Invitation for %s has been sent."
"Invitation for same email address","Invitation for same email address"
"Invitation has no ID.","Invitation has no ID."
"Invitation not found.","Invitation not found."
"Invitation with status ""%s"" cannot be sent.","Invitation with status ""%s"" cannot be sent."
"Invitations","Invitations"
"Invitations Accepted","Invitations Accepted"
"Invitations Information","Invitations Information"
"Invitations Sent","Invitations Sent"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"Invitee","Invitee"
"Invitee Group","Invitee Group"
"Invitee Information","Invitee Information"
"Inviter Information","Inviter Information"
"Last Name","Last Name"
"Link","Link"
"Manage Invitations","Manage Invitations"
"Max Invitations Allowed to be Sent at One Time","Max Invitations Allowed to be Sent at One Time"
"Message","Message"
"Message cannot be updated.","Message cannot be updated."
"My Invitations","My Invitations"
"N/A","N/A"
"Name","Name"
"New Accounts Registration","New Accounts Registration"
"New Invitations","New Invitations"
"No customer group id specified.","No customer group id specified."
"No invitations have been resent","No invitations have been resent"
"Not Sent","Not Sent"
"Order Conversion Rate","Order Conversion Rate"
"Please enter valid email addresses, separated by new line.","Please enter valid email addresses, separated by new line."
"Please select invitations.","Please select invitations."
"Please specify at least one email.","Please specify at least one email."
"Referred Customer Group","Referred Customer Group"
"Registered","Registered"
"Reports","Reports"
"Same as Inviter","Same as Inviter"
"Save Invitation","Save Invitation"
"Send At","Send At"
"Send From","Send From"
"Send Invitation","Send Invitation"
"Send Invitations","Send Invitations"
"Send Selected","Send Selected"
"Sent","Sent"
"Sign Up At","Sign Up At"
"Signed Up At","Signed Up At"
"Status","Status"
"Status History","Status History"
"Store View","Store View"
"The invitation has been saved.","The invitation has been saved."
"There are no sent invitations yet","There are no sent invitations yet"
"This invitation is not valid.","This invitation is not valid."
"Unable to determine proper website.","Unable to determine proper website."
"Unable to generate encrypted code.","Unable to generate encrypted code."
"Valid on Website","Valid on Website"
"View Invitation for %s (ID: %s)","View Invitation for %s (ID: %s)"
"Website","Website"
"Wrong store specified.","Wrong store specified."
"You cannot send more invitations","You cannot send more invitations"
"Your invitation is not valid. Please contact us at %s.","Your invitation is not valid. Please contact us at %s."
"Your invitation is not valid. Please create an account.","Your invitation is not valid. Please create an account."
