"Active","Active"
"Add Rule","Add Rule"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"An error occurred while saving Product Rule.","An error occurred while saving Product Rule."
"Applies To","Applies To"
"Apply To","Apply To"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Both Selected and Rule-Based","Both Selected and Rule-Based"
"Catalog","Catalog"
"Check items to add to the cart or","Check items to add to the cart or"
"Close","Close"
"Conditions Combination","Conditions Combination"
"Constant Value","Constant Value"
"Cross-sells","Cross-sells"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Do not rotate","Do not rotate"
"Edit Rule '%s'","Edit Rule '%s'"
"From Date","From Date"
"General Rule Information","General Rule Information"
"ID","ID"
"Inactive","Inactive"
"Invalid date.","Invalid date."
"Invalid product list type","Invalid product list type"
"Invalid rotation mode type","Invalid rotation mode type"
"Manage Product Rules","Manage Product Rules"
"Matched Product %s","Matched Product %s"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Maximum number of products that can be matched by this Rule. Capped to 20."
"New Rule","New Rule"
"Please choose a condition to add...","Please choose a condition to add..."
"Please define product data object","Please define product data object"
"Position Behavior","Position Behavior"
"Price (percentage)","Price (percentage)"
"Priority","Priority"
"Product","Product"
"Product Attributes","Product Attributes"
"Product Match Conditions (leave blank for matching all products)","Product Match Conditions (leave blank for matching all products)"
"Product Price is %s %s%% of Matched Product(s) Price","Product Price is %s %s%% of Matched Product(s) Price"
"Product Result Conditions (leave blank for matching all products)","Product Result Conditions (leave blank for matching all products)"
"Product Rule Information","Product Rule Information"
"Product Special","Product Special"
"Product list type identifier does not defined","Product list type identifier does not defined"
"Products to Display","Products to Display"
"Products to Match","Products to Match"
"Related Products","Related Products"
"Result Limit","Result Limit"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Products in Cross-Sell Product List"
"Rotation Mode for Products in Related Product List","Rotation Mode for Products in Related Product List"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Products in Upsell Product List"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule-Based Only","Rule-Based Only"
"Rule-Based Product Relations","Rule-Based Product Relations"
"Rule-based Positions","Rule-based Positions"
"Rule-based Product Relations","Rule-based Product Relations"
"Rule-based Settings","Rule-based Settings"
"Save and Continue Edit","Save and Continue Edit"
"Selected Only","Selected Only"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Show Related Products","Show Related Products"
"Show Upsell Products","Show Upsell Products"
"Shuffle","Shuffle"
"Status","Status"
"Target Product ","Target Product "
"Target Rules","Target Rules"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists","This rule no longer exists"
"To Date","To Date"
"Unable to find a page to delete","Unable to find a page to delete"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"Up-sells","Up-sells"
"Use Config Settings","Use Config Settings"
"Wrong rule specified.","Wrong rule specified."
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"equal to","equal to"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"less","less"
"more","more"
"select all","select all"
"the Child of the Matched Product Categories","the Child of the Matched Product Categories"
"the Same as Matched Product Categories","the Same as Matched Product Categories"
"unselect all","unselect all"
